ap,p,t,B,lfc
0.996,0.012445,3.0396419,-3.97,0.42788264
0.996,0.012464,3.0387526,-3.97,0.69455486
0.996,0.01248,3.0379844,-3.97,0.3848092
0.996,0.012513,3.0364475,-3.97,0.57209564
0.996,0.0126,-3.03238,-3.97,-0.58431322
0.996,0.012615,-3.0316699,-3.97,-0.77714618
0.996,0.012628,3.031089,-3.97,1.03026638
0.996,0.012647,-3.0301992,-3.97,-1.24760086
0.996,0.012684,-3.0284793,-3.97,-0.3556744
0.996,0.012695,-3.0279731,-3.97,-0.87809822
0.996,0.012707,-3.0274283,-3.97,-1.62472768
0.996,0.012773,-3.0244047,-3.97,-0.29541414
0.996,0.012776,3.0242819,-3.97,0.52914508
0.996,0.012852,3.0208056,-3.97,0.37796714
0.996,0.012879,3.019562,-3.97,1.17921356
